,y_name,orf_name
6646,YPR171W,BSP1
6647,YPR172W,YPR172W
6648,YPR173C,VPS4
6649,YPR174C,YPR174C
6650,YPR175W,DPB2
6651,YPR176C,BET2
6652,YPR177C,YPR177C
6653,YPR178W,PRP4
6654,YPR179C,HDA3
6655,YPR180W,AOS1
6656,YPR181C,SEC23
6657,YPR182W,SMX3
6658,YPR183W,DPM1
6659,YPR184W,GDB1
6660,YPR185W,ATG13
6661,YPR186C,PZF1
6662,YPR187W,RPO26
6663,YPR188C,MLC2
6664,YPR189W,SKI3
6665,YPR190C,RPC82
6666,YPR191W,QCR2
6667,YPR192W,AQY1
6668,YPR193C,HPA2
6669,YPR194C,OPT2
6670,YPR195C,YPR195C
6671,YPR196W,YPR196W
6672,YPR197C,YPR197C
6673,YPR198W,SGE1
6674,YPR199C,ARR1
6675,YPR200C,ARR2
6676,YPR201W,ARR3
6677,YPR202W,YPR202W
6678,YPR203W,YPR203W
6679,YPR204C-A,YPR204C-A
6680,YPR204W,YPR204W
6681,Q0010,Q0010
6682,Q0017,Q0017
6683,Q0032,Q0032
6684,Q0045,COX1
6685,Q0050,AI1
6686,Q0055,AI2
6687,Q0060,AI3
6688,Q0065,AI4
6689,Q0070,AI5_ALPHA
6690,Q0075,AI5_BETA
6691,Q0080,ATP8
6692,Q0085,ATP6
6693,Q0092,Q0092
6694,Q0105,COB
6695,Q0110,BI2
6696,Q0115,BI3
6697,Q0120,BI4
6698,Q0130,OLI1
6699,Q0140,VAR1
6700,Q0142,Q0142
6701,Q0143,Q0143
6702,Q0144,Q0144
6703,Q0160,SCEI
6704,Q0182,Q0182
6705,Q0250,COX2
6706,Q0255,Q0255
6707,Q0275,COX3
6708,Q0297,Q0297
6709,R0010W,FLP1
6710,R0020C,REP1
6711,R0030W,RAF1
6712,R0040C,REP2
